Zagreb is the capital of Croatia and its average temperature is 55.31
Addis Ababa is the capital of Ethiopia and its average temperature is 63.11
Bishkek is the capital of Kyrgyzstan and its average temperature is 53.45
Helsinki is the capital of Finland and its average temperature is 43.16
Algiers is the capital of Algeria and its average temperature is 64.49
Cairo is the capital of Egypt and its average temperature is 73.25
Windhoek is the capital of Namibia and its average temperature is 69.96
Rabat is the capital of Morocco and its average temperature is 63.03
Paris is the capital of France and its average temperature is 53.62
Hanoi is the capital of Vietnam and its average temperature is 75.97
Tunis is the capital of Tunisia and its average temperature is 67.22
Beijing is the capital of China and its average temperature is 55.24
Vientiane is the capital of Laos and its average temperature is 81.29
Tirana is the capital of Albania and its average temperature is 60.47
Bissau is the capital of Guinea-Bissau and its average temperature is 81.82
Tashkent is the capital of Uzbekistan and its average temperature is 60.35
Dublin is the capital of Ireland and its average temperature is 49.46
Budapest is the capital of Hungary and its average temperature is 52.65
Lilongwe is the capital of Malawi and its average temperature is 70.94
Maputo is the capital of Mozambique and its average temperature is 74.71
Kampala is the capital of Uganda and its average temperature is 72.97
Athens is the capital of Greece and its average temperature is 60.16
Tokyo is the capital of Japan and its average temperature is 61.81
Minsk is the capital of Belarus and its average temperature is 45.74
Pyongyang is the capital of North Korea and its average temperature is 51.89
Vienna is the capital of Austria and its average temperature is 52.44
Islamabad is the capital of Pakistan and its average temperature is 71.23
Brussels is the capital of Belgium and its average temperature is 51.64
Dakar is the capital of Senegal and its average temperature is 76.27
Manila is the capital of Philippines and its average temperature is 83.04
Conakry is the capital of Guinea and its average temperature is 81.19
Prague is the capital of Czech Republic and its average temperature is 49.03
Antananarivo is the capital of Madagascar and its average temperature is 64.74
Seoul is the capital of South Korea and its average temperature is 53.84
Libreville is the capital of Gabon and its average temperature is 80.10
Bangui is the capital of Central African Republic and its average temperature is 79.14
Nouakchott is the capital of Mauritania and its average temperature is 78.25
Kuala Lumpur is the capital of Malaysia and its average temperature is 82.70
Jakarta is the capital of Indonesia and its average temperature is 83.53
Sofia is the capital of Bulgaria and its average temperature is 52.70
Banjul is the capital of Gambia and its average temperature is 78.76
Canberra is the capital of Australia and its average temperature is 56.79
Nairobi is the capital of Kenya and its average temperature is 67.77
Singapore is the capital of Singapore and its average temperature is 82.51
Copenhagen is the capital of Denmark and its average temperature is 48.08
Lusaka is the capital of Zambia and its average temperature is 69.91
Manama is the capital of Bahrain and its average temperature is 81.88
Abu Dhabi is the capital of United Arab Emirates and its average temperature is 83.57
Skopje is the capital of Macedonia and its average temperature is 55.05
Damascus is the capital of Syria and its average temperature is 64.17
Bern is the capital of Switzerland and its average temperature is 49.35
Amman is the capital of Jordan and its average temperature is 65.08
Santo Domingo is the capital of Dominican Republic and its average temperature is 80.33
Guatemala City is the capital of Guatemala and its average temperature is 67.10
Oslo is the capital of Norway and its average temperature is 42.11
Mexico City is the capital of Mexico and its average temperature is 63.40
Lisbon is the capital of Portugal and its average temperature is 61.60
Muscat is the capital of Oman and its average temperature is 82.45
Moscow is the capital of Russia and its average temperature is 43.10
Madrid is the capital of Spain and its average temperature is 59.50
Havana is the capital of Cuba and its average temperature is 75.91
Bucharest is the capital of Romania and its average temperature is 53.67
Rome is the capital of Italy and its average temperature is 61.32
Riga is the capital of Latvia and its average temperature is 45.56
Stockholm is the capital of Sweden and its average temperature is 45.73
Warsaw is the capital of Poland and its average temperature is 49.49
Doha is the capital of Qatar and its average temperature is 83.67
Ottawa is the capital of Canada and its average temperature is 42.57
Bridgetown is the capital of Barbados and its average temperature is 80.86
Bratislava is the capital of Slovakia and its average temperature is 52.90
Beirut is the capital of Lebanon and its average temperature is 70.76
Nassau is the capital of Bahamas and its average temperature is 78.94
Buenos Aires is the capital of Argentina and its average temperature is 63.66
Riyadh is the capital of Saudi Arabia and its average temperature is 79.68
Ankara is the capital of Turkey and its average temperature is 52.14
La Paz is the capital of Bolivia and its average temperature is 46.14
